SampleDate,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged,City,positives,Testing,NormalizedConc_crude,NormalizedConc,positives_crude,NormalizedConc_wo,NormalizedConc_wo_int,Type,N_gene,S_gene,BA.2,NormalizedBA.2,n_res_episodedate
2022-03-09,105.3648663,112.3932171,0.00011103089413333333,980619.3359,Woodland,5.0,1348.0,0.00011103089413333333,0.00011103089413333333,5.0,0.00011103089413333333,0.00011103089413333333,influent,,,,,
2022-03-10,184.4347763,158.5936546,0.000145919846,1175400.195,Woodland,8.0,1383.0,0.000145919846,0.000145919846,8.0,0.000145919846,0.000145919846,influent,,,,,
2022-03-11,93.20021629,93.20021629,7.891906533333334e-06,11809594.53,Woodland,3.0,1025.0,7.891906533333334e-06,7.891906533333334e-06,3.0,7.891906533333334e-06,7.891906533333334e-06,influent,,,,,
2022-03-12,,,,,Woodland,0.0,1003.0,,1.3023754144444447e-05,0.0,,1.3023754144444447e-05,influent,,,,,
2022-03-13,,,,,Woodland,2.0,297.0,,1.815560175555556e-05,2.0,,1.815560175555556e-05,influent,,,,,
2022-03-14,39.56239223,32.96751499,2.328744936666667e-05,1557274.609,Woodland,2.0,566.0,2.328744936666667e-05,2.328744936666667e-05,2.0,2.328744936666667e-05,2.328744936666667e-05,influent,,,,,
2022-03-15,75.87413788,83.1032753,8.2785266e-05,960179.3945,Woodland,6.0,934.0,8.2785266e-05,8.2785266e-05,6.0,8.2785266e-05,8.2785266e-05,influent,,,,,
2022-03-16,58.31903458,54.88752842,6.658684786666666e-05,850066.9922,Woodland,2.0,1379.0,6.658684786666666e-05,6.658684786666666e-05,2.0,6.658684786666666e-05,6.658684786666666e-05,influent,,,,,
2022-03-17,44.34281349,38.00677538,6.0184913466666666e-05,684138.1348,Woodland,7.0,1423.0,6.0184913466666666e-05,6.0184913466666666e-05,7.0,6.0184913466666666e-05,6.0184913466666666e-05,influent,,,,,
2022-03-18,77.2542572,61.15408897,7.016673876666666e-05,986281.7383,Woodland,3.0,1153.0,7.016673876666666e-05,7.016673876666666e-05,3.0,7.016673876666666e-05,7.016673876666666e-05,influent,,,,,
2022-03-19,,,,,Woodland,5.0,910.0,,6.031017636666666e-05,5.0,,6.031017636666666e-05,influent,,,,,
2022-03-20,,,,,Woodland,0.0,81.0,,5.0453613966666664e-05,0.0,,5.0453613966666664e-05,influent,,,,,
2022-03-21,41.81460381,34.21069384,4.0597051566666665e-05,936340.1367,Woodland,3.0,317.0,4.0597051566666665e-05,4.0597051566666665e-05,3.0,4.0597051566666665e-05,4.0597051566666665e-05,influent,,,,,
2022-03-22,55.65324306,51.94212437,4.742878523333333e-05,1134283.398,Woodland,2.0,296.0,4.742878523333333e-05,4.742878523333333e-05,2.0,4.742878523333333e-05,4.742878523333333e-05,influent,,,,,
2022-03-23,73.48275661,62.98189163,4.9199006300000006e-05,1386863.867,Woodland,6.0,572.0,4.9199006300000006e-05,4.9199006300000006e-05,6.0,4.9199006300000006e-05,4.9199006300000006e-05,influent,,,,,
2022-03-24,44.30422783,44.30422783,4.8284969966666666e-05,917557.3242,Woodland,5.0,695.0,4.8284969966666666e-05,4.8284969966666666e-05,5.0,4.8284969966666666e-05,4.8284969966666666e-05,influent,,,,,
2022-03-25,26.11685514,29.84838247,3.735598516666667e-05,749079.9316,Woodland,0.0,,3.735598516666667e-05,3.735598516666667e-05,0.0,3.735598516666667e-05,3.735598516666667e-05,influent,,,,,
2022-03-26,,,,,Woodland,5.0,395.0,,4.2752394122222224e-05,5.0,,4.2752394122222224e-05,influent,,,,,
2022-03-27,,,,,Woodland,4.0,575.0,,4.8148803077777774e-05,4.0,,4.8148803077777774e-05,influent,,,,,
2022-03-28,35.31894445,75.69581032,5.354521203333333e-05,1036645.02,Woodland,3.0,444.0,5.354521203333333e-05,5.354521203333333e-05,3.0,5.354521203333333e-05,5.354521203333333e-05,influent,,,,,
2022-03-29,49.89468575,53.73373985,5.565692683333334e-05,930957.1289,Woodland,5.0,1063.0,5.565692683333334e-05,5.565692683333334e-05,5.0,5.565692683333334e-05,5.565692683333334e-05,influent,,,,,
